location,restuarant_count,votes,rate,demand_supply
BTM,2089,187.0,3.7,0.09
Banashankari,559,193.0,3.7,0.35
Banaswadi,406,61.0,3.6,0.15
Bannerghatta Road,1024,177.0,3.6,0.17
Basavanagudi,433,150.0,3.7,0.35
Basaveshwara Nagar,177,101.0,3.7,0.57
Bellandur,1003,196.0,3.6,0.2
Bommanahalli,171,28.0,3.4,0.16
Brigade Road,614,605.0,3.8,0.99
Brookefield,529,214.0,3.6,0.4
Church Street,434,1275.0,4.1,2.94
Commercial Street,140,110.0,3.7,0.79
Cunningham Road,256,962.0,4.0,3.76
Domlur,280,283.0,3.6,1.01
Ejipura,125,54.0,3.6,0.43
Electronic City,1221,90.0,3.6,0.07
Frazer Town,446,179.0,3.7,0.4
HSR,1611,257.0,3.7,0.16
Indiranagar,1695,673.0,3.9,0.4
JP Nagar,1326,363.0,3.7,0.27
Jayanagar,1102,348.0,3.8,0.32
Jeevan Bhima Nagar,238,196.0,3.6,0.82
Kalyan Nagar,558,230.0,3.8,0.41
Kammanahalli,394,198.0,3.7,0.5
Koramangala 1st Block,438,376.0,3.8,0.86
Koramangala 3rd Block,107,728.0,4.1,6.8
Koramangala 4th Block,519,1118.0,4.0,2.15
Koramangala 5th Block,1426,1358.0,4.1,0.95
Koramangala 6th Block,510,605.0,3.9,1.19
Koramangala 7th Block,511,758.0,4.0,1.48
Koramangala 8th Block,132,104.0,3.8,0.79
Kumaraswamy Layout,132,99.0,3.5,0.75
Lavelle Road,379,1190.0,4.2,3.14
MG Road,527,689.0,4.0,1.31
Majestic,113,30.0,3.6,0.27
Malleshwaram,551,415.0,3.8,0.75
Marathahalli,1546,274.0,3.6,0.18
Nagawara,117,95.0,3.5,0.81
New BEL Road,586,287.0,3.7,0.49
Old Airport Road,353,378.0,3.7,1.07
Rajajinagar,458,171.0,3.6,0.37
Residency Road,378,647.0,4.0,1.71
Richmond Road,321,278.0,3.9,0.87
Sarjapur Road,879,442.0,3.7,0.5
Seshadripuram,115,128.0,3.7,1.11
Shanti Nagar,217,203.0,3.6,0.94
Shivajinagar,145,44.0,3.6,0.3
St. Marks Road,228,1081.0,4.1,4.74
Thippasandra,152,82.0,3.6,0.54
Ulsoor,496,246.0,3.8,0.5
Vasanth Nagar,162,145.0,3.7,0.9
Whitefield,2013,234.0,3.7,0.12
Wilson Garden,109,33.0,3.6,0.3
